aquamonitor_id,runoff_mm/yr
26800,1670
26801,1597
26802,1770
26803,1487
26804,1922
26805,884
26806,990
26807,927
26808,836
26809,1094
26810,752
26811,847
26812,625
26813,1526
26814,1447
26815,963
26816,1339
26817,1364
26818,1575
26819,1401
26820,1041
26821,1561
26822,2708
26823,1658
26824,1530
26825,2291
26826,1284
26827,1366
26828,1301
26829,1257
26830,2193
26831,2304
26832,2230
26833,1404
26834,1651
26835,1186
26836,1467
26837,1396
26838,1234
26839,1783
26840,1646
26841,1386
26842,1778
26843,3417
26844,3167
26845,2093
26846,2701
26847,1707
26848,1769
26849,1376
26850,1809
26851,1946
26852,1062
26853,815
26854,1816
26855,1346
26856,1251
26857,1362
26858,1397
26859,3436
26860,1825
26861,3156
26862,2571
26863,1431
26864,1549
26865,1288
26866,1377
26867,1113
26868,1117
26869,1571
26870,1835
26871,1875
26872,1661
26873,2153
26874,2040
26875,1319
26876,2231
26877,1562
26878,1923
26879,1574
26880,1176
26881,1316
26882,1299
26883,1869
26884,2058
26885,1896
26886,1648
26887,1448
26888,1149
26889,1582
26890,1392
26891,1152
26892,546
26893,1150
26894,1280
26895,945
26896,972
26897,1274
26898,1472
26899,1436
26900,1651
26901,1196
26902,1371
26903,736
26904,1223
26905,655
26906,917
26907,649
26908,822
26909,778
26910,756
26911,516
26912,1124
26913,937
26914,714
26915,371
26916,311
26917,357
26918,475
26919,383
26920,337
26921,394
26922,283
26923,375
26924,341
26925,413
26926,430
26927,443
26928,349
26929,325
26930,365
26931,363
26932,406
26933,351
26934,329
26935,368
26936,409
26937,561
26938,420
26939,1073
26940,923
26941,746
26942,404
26943,636
26944,784
26945,481
26946,515
26947,502
26948,807
26949,1016
26950,1045
26951,1642
26952,944
26953,1333
26954,868
26955,1566
26956,1319
26957,1307
26958,1425
26959,1374
26960,885
26961,1441
26962,740
26963,646
26964,628
26965,470
26966,648
26967,489
26968,1368
26969,762
26970,665
26971,461
26972,386
26973,321
26974,494
26975,382
26976,458
26977,396
26978,458
26979,404
26980,399
26981,376
26982,642
26983,953
26984,850
26985,765
26986,657
26987,732
26988,893
26989,778
26990,953
26991,933
26992,716
26993,743
26994,528
26995,517
26996,481
26997,433
26998,675
26999,491
27000,386
27001,479
27002,416
27003,395
27004,1022
27005,386
27006,513
27007,370
27008,345
27009,360
27010,448
27011,393
27014,1311
27015,4511
27016,1178
27020,982
27021,1246
27022,2089
27023,3575
27024,3357
27025,1486
27026,1873
27027,763
27029,444
27030,346
27032,745
27033,548
27034,650
27035,471
27036,631
27037,692
27038,858
27039,989
27040,872
27041,1013
27042,938
27043,1159
27044,2258
27046,2127
27047,2251
27048,1969
27049,2604
27050,3017
27051,1605
27052,3750
27053,1884
27054,3410
27055,4369
27056,4400
27057,3252
27058,2929
27059,1465
27060,1377
27061,1388
27062,1978
27063,2732
27064,1766
27065,3773
27066,1019
27067,1597
27068,902
27069,1702
27070,1312
27071,444
27072,1136
27073,1493
27074,593
27075,417
27076,481
37922,1428
37923,893
37924,458
45532,1026
45666,554
45671,378
45677,665
45693,799
45696,1212
45764,795
45848,894
45862,1635
45977,751
46014,576
46105,718
46120,968
46242,542
46323,575
46550,838
46620,613
71071,984
71072,1725
71073,438
71074,643
71075,677
71076,2511
71077,3055
71078,2575
71079,1797
71080,2171
71081,2191
71082,1688
71083,1924
71084,2069
71716,617
71717,413
71718,619
71719,687
71723,1309
71725,3747
71862,855
